rank,provinces,municipality,pop10,pop05,pop00
1,,Seoul,9794304 ,9762546 ,9853972 
2,,Busan,3414950 ,3512547 ,3655437 
3,,Incheon,2662509 ,2590863 ,2466338 
4,,Daegu,2446418 ,2456016 ,2473990 
5,,Daejeon,1501859 ,1438551 ,1365961 
6,,Gwangju,1469293 ,1413644 ,1350948 
7,,Ulsan,1082567 ,1044934 ,1012110 
8,Gyeonggi,Suwon,1071913 ,1039233 ,944239 
9,Gyeongsangnamdo,Changwon,1058021 ,1075326 ,1076448 
10,Gyeonggi,Seongnam,949964 ,931019 ,912222 
11,Gyeonggi,Goyang,905076 ,864402 ,762598 
12,Gyeonggi,Yongin,856765 ,686842 ,384741 
13,Gyeonggi,Bucheon,853039 ,833931 ,757832 
14,Gyeonggi,Ansan,728775 ,669839 ,554998 
15,Chungcheongbukdo,Cheongju,666924 ,640631 ,585622 
16,Jeollabukdo,Jeonju,649728 ,622092 ,615804 
17,Gyeonggi,Anyang,602122 ,609886 ,578845 
18,Chungcheongnamdo,Cheonan,574623 ,518171 ,415818 
19,Gyeonggi,Namyangju,529898 ,424446 ,339545 
20,Gyeongsangbukdo,Pohang,511390 ,488433 ,515187 
21,Gyeongsangnamdo,Gimhae,494510 ,428893 ,330829 
22,Gyeonggi,Hwaseong,488758 ,282124 ,185979 
23,Gyeonggi,Uijeongbu,417412 ,397694 ,354422 
24,Gyeonggi,Siheung,407090 ,384304 ,304260 
25,Gyeongsangbukdo,Gumi,402607 ,381583 ,339457 
26,,Jeju City,401192 ,391132 ,366809 
27,Gyeonggi,Pyeongtaek,388508 ,374262 ,342806 
28,,Jinju,337896 ,336355 ,339413 
29,Gyeonggi,Gwangmyeong,329010 ,319452 ,333596 
30,Gyeonggi,Paju,328128 ,239823 ,177128 
31,Gangwondo,Wonju,311449 ,283583 ,267849 
32,Jeollabukdo,Iksan,296366 ,306974 ,322636 
33,Chungcheongnamdo,Asan,278676 ,206851 ,179900 
34,Gyeonggi,Gunpo,278083 ,268917 ,262593 
35,Gangwondo,Chuncheon,276232 ,260234 ,252177 
36,Jeollanamdo,Yeosu,269937 ,277420 ,303115 
37,Gyeongsangbukdo,Gyeongsan,266036 ,240371 ,226713 
38,Jeollabukdo,Gunsan,260546 ,249212 ,263845 
39,Jeollanamdo,Suncheon,258670 ,261519 ,265724 
40,Gyeongsangbukdo,Gyeongju,256150 ,266131 ,275132 
41,Gyeongsangnamdo,Yangsan,252507 ,215845 ,191147 
42,Jeollanamdo,Mokpo,249960 ,244543 ,250336 
43,Gyeongsangnamdo,Geoje,231271 ,193398 ,167231 
44,Gyeonggi,Gwangju,228747 ,204266 ,124789 
45,Gyeonggi,Gimpo,224350 ,192716 ,148576 
46,Gangwondo,Gangneung,218471 ,220706 ,227856 
47,,Chungju,203212 ,204248 ,217510 
48,Gyeonggi,Icheon,195175 ,187514 ,179081 
49,Gyeonggi,Yangju,187911 ,149931 ,107440 
50,Gyeonggi,Guri,185550 ,186954 ,160485 
51,Gyeonggi,Osan,183890 ,131792 ,102287 
52,Gyeonggi,Anseong,179782 ,157632 ,132906 
53,Gyeongsangbukdo,Andong,166197 ,169436 ,181974 
54,,Seosan,156843 ,143692 ,142972 
55,Gyeonggi,Uiwang,144501 ,143568 ,117594 
56,,Dangjin,141952 ,122016 ,117409 
57,Gyeonggi,Pocheon,140997 ,139472 ,135758 
58,Gyeonggi,Hanam,138829 ,121646 ,120149 
59,,Gwangyang,137810 ,135583 ,132568 
60,,Jecheon,134698 ,132483 ,143537 
61,,Seogwipo,130713 ,139554 ,145732 
62,Gyeongsangnamdo,Tongyeong,129366 ,121115 ,123747 
63,Gyeongsangbukdo,Gimcheon,127889 ,135166 ,147269 
64,,Gongju,122153 ,126484 ,130223 
65,,Nonsan,119222 ,124779 ,137452 
66,,Jeongeup,110352 ,115416 ,128892 
67,,Yeongju,108888 ,113670 ,126415 
68,,Sacheon,107524 ,106532 ,110912 
69,Gyeongsangnamdo,Miryang,99128 ,105651 ,115787 
70,Gyeongsangbukdo,Sangju,98103 ,105600 ,116365 
71,,Boryeong,97770 ,96992 ,109423 
72,,Yeongcheon,95256 ,103289 ,110918 
73,Gyeonggi,Dongducheon,91828 ,78897 ,72366 
74,,Donghae,90574 ,93018 ,96280 
75,,Gimje,83302 ,90376 ,102428 
76,,Sokcho,80791 ,84706 ,87880 
77,,Namwon,78770 ,85828 ,94810 
78,,Naju,78679 ,86823 ,99233 
79,,Mungyeong,69021 ,70813 ,90778 
80,,Samcheok,67454 ,67957 ,75592 
81,Gyeonggi,Gwacheon,66704 ,56587 ,66592 
82,Gangwondo,Taebaek,51558 ,55241 ,54164 
83,,Gyeryong,41528 ,31646 ,27104 
